label,concern
Total Kjeldahl nitrogen - SM 4500-N,Illicit Connections
Total Kjeldahl nitrogen - SM 4500-N,Eutrophication (Nutrients)
Total Kjeldahl nitrogen - SM 4500-N,Illicit Connections
Total nitrogen - SM 4500-N,Eutrophication (Nutrients)
Total nitrogen - SM 4500-N,Illicit Connections
Total nitrogen - SM 4500-N,Eutrophication (Nutrients)
Total nitrogen - SM 4500-N,Illicit Connections
Total nitrogen - USGS 1-4650-03,Eutrophication (Nutrients)
Total nitrogen - USGS 1-4650-03,Illicit Connections
Total nitrogen - USGS 1-4650-03,Eutrophication (Nutrients)
Total nitrogen - USGS 1-4650-03,Illicit Connections
Total organic carbon (TOC) - Sediment grab samples,General Environmental Health: Benthic
Total phosphorus - EPA 365.1/365.2/365.3,Eutrophication (Nutrients)
Total phosphorus - EPA 365.1/365.2/365.3,Illicit Connections
Total phosphorus - EPA 365.1/365.2/365.3,Eutrophication (Nutrients)
Total phosphorus - EPA 365.1/365.2/365.3,Illicit Connections
Total phosphorus - SM 4500-P,Eutrophication (Nutrients)
Total phosphorus - SM 4500-P,Illicit Connections
Total phosphorus - SM 4500-P,Eutrophication (Nutrients)
Total phosphorus - SM 4500-P,Illicit Connections
Total phosphorus - USGS 1-4650-03,Eutrophication (Nutrients)
Total phosphorus - USGS 1-4650-03,Illicit Connections
Total phosphorus - USGS 1-4650-03,Eutrophication (Nutrients)
Total phosphorus - USGS 1-4650-03,Illicit Connections
Total suspended solids - EPA 160.2,General Environmental Health: Physical/Chemical Water Quality
Total suspended solids - EPA 160.2,Illicit Connections
Total suspended solids - EPA 160.2,General Environmental Health: Physical/Chemical Water Quality
Total suspended solids - EPA 160.2,Illicit Connections
Total suspended solids - SM 2540-D,General Environmental Health: Physical/Chemical Water Quality
Total suspended solids - SM 2540-D,Illicit Connections
Total suspended solids - SM 2540-D,General Environmental Health: Physical/Chemical Water Quality
Total suspended solids - SM 2540-D,Illicit Connections
Turbidity - EPA 180.1,General Environmental Health: Physical/Chemical Water Quality
Turbidity - EPA 180.1,Eutrophication (Nutrients)
Turbidity - EPA 180.1,General Environmental Health: Physical/Chemical Water Quality
Turbidity - EPA 180.1,Eutrophication (Nutrients)
Turbidity - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
Turbidity - multi-parameter probe meter,Eutrophication (Nutrients)
Turbidity - multi-parameter probe meter,General Environmental Health: Physical/Chemical Water Quality
Turbidity - multi-parameter probe meter,Eutrophication (Nutrients)
Turbidity - SM 2130-B,General Environmental Health: Physical/Chemical Water Quality
Turbidity - SM 2130-B,Eutrophication (Nutrients)
Turbidity - SM 2130-B,General Environmental Health: Physical/Chemical Water Quality
Turbidity - SM 2130-B,Eutrophication (Nutrients)
Turbidity - turbidity meter,General Environmental Health: Physical/Chemical Water Quality
Turbidity - turbidity meter,Eutrophication (Nutrients)
Turbidity - turbidity meter,General Environmental Health: Physical/Chemical Water Quality
Turbidity - turbidity meter,Eutrophication (Nutrients)
Water transparency (Secchi depth) - in situ,General Environmental Health: Physical/Chemical Water Quality
Water transparency (Secchi depth) - in situ,Eutrophication (Nutrients)
